job_id,job_title,company,location,job_description,experience,education,salary_lpa,job_type,required_skills
JOB827659,Data Engineer,Bosch,"Mumbai, Maharashtra","We are hiring a Data Engineer at Bosch in Mumbai, Maharashtra. The role requires 5-8 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a part-time opportunity.",5-8 years,BCA,6.7,Part-time,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB316881,Python Developer,Oracle,"Chennai, Tamil Nadu","We are hiring a Python Developer at Oracle in Chennai, Tamil Nadu. The role requires 0-1 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Django, Flask, FastAPI, SQL, Git, REST API is preferred. This is a internship opportunity.",0-1 years,BSc Data Science,5.3,Internship,"Python, Django, Flask, FastAPI, SQL, Git, REST API"
JOB468845,DevOps Engineer,Fractal Analytics,"Remote, India","We are hiring a DevOps Engineer at Fractal Analytics in Remote, India. The role requires 5-8 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD is preferred. This is a internship opportunity.",5-8 years,BTech Computer Science,8.6,Internship,"AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD"
JOB386193,Data Engineer,Bosch,"Remote, India","We are hiring a Data Engineer at Bosch in Remote, India. The role requires 8-12 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a part-time opportunity.",8-12 years,BTech Information Technology,10.5,Part-time,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB233827,Machine Learning Engineer,Mphasis,"Hyderabad, Telangana","We are hiring a Machine Learning Engineer at Mphasis in Hyderabad, Telangana. The role requires 2-5 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, PyTorch, TensorFlow, AWS, Machine Learning, SQL is preferred. This is a part-time opportunity.",2-5 years,MSc Data Science,9.7,Part-time,"Python, PyTorch, TensorFlow, AWS, Machine Learning, SQL"
JOB242291,Web Developer,Fractal Analytics,"Gurugram, Haryana","We are hiring a Web Developer at Fractal Analytics in Gurugram, Haryana. The role requires 3-6 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with HTML, CSS, JavaScript, React, Node.js, REST API, Git is preferred. This is a full-time opportunity.",3-6 years,BTech Computer Science,8.8,Full-time,"HTML, CSS, JavaScript, React, Node.js, REST API, Git"
JOB442722,DevOps Engineer,Infosys,"Bengaluru, Karnataka","We are hiring a DevOps Engineer at Infosys in Bengaluru, Karnataka. The role requires 2-5 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD is preferred. This is a contract opportunity.",2-5 years,MSc Data Science,5.3,Contract,"AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD"
JOB665621,Power BI Developer,Oracle,"Bengaluru, Karnataka","We are hiring a Power BI Developer at Oracle in Bengaluru, Karnataka. The role requires 3-6 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, Excel, DAX, SQL, Data Modeling is preferred. This is a internship opportunity.",3-6 years,BE Computer Engineering,4.4,Internship,"Power BI, Excel, DAX, SQL, Data Modeling"
JOB309044,Data Analyst,Wipro,"Ahmedabad, Gujarat","We are hiring a Data Analyst at Wipro in Ahmedabad, Gujarat. The role requires 1-3 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, SQL, Excel, Statistics, Pandas is preferred. This is a full-time opportunity.",1-3 years,BTech Computer Science,9.2,Full-time,"Power BI, SQL, Excel, Statistics, Pandas"
JOB328552,DevOps Engineer,Tech Mahindra,"Nashik, Maharashtra","We are hiring a DevOps Engineer at Tech Mahindra in Nashik, Maharashtra. The role requires 1-3 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Git is preferred. This is a full-time opportunity.",1-3 years,Any Graduate,6.9,Full-time,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Git"
JOB271720,Cloud Engineer,Capgemini,"Gurugram, Haryana","We are hiring a Cloud Engineer at Capgemini in Gurugram, Haryana. The role requires 3-6 years of experience and MTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Kubernetes, Terraform, Jenkins, Docker, Git is preferred. This is a full-time opportunity.",3-6 years,MTech Computer Science,9.8,Full-time,"AWS, Kubernetes, Terraform, Jenkins, Docker, Git"
JOB307963,Data Engineer,Deloitte,"Gurugram, Haryana","We are hiring a Data Engineer at Deloitte in Gurugram, Haryana. The role requires 1-3 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, SQL, ETL, Spark, AWS, Airflow is preferred. This is a internship opportunity.",1-3 years,MSc Data Science,9.1,Internship,"Python, SQL, ETL, Spark, AWS, Airflow"
JOB693423,Business Analyst,Deloitte,"Ahmedabad, Gujarat","We are hiring a Business Analyst at Deloitte in Ahmedabad, Gujarat. The role requires 1-3 years of experience and MTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, JIRA, Statistics is preferred. This is a full-time opportunity.",1-3 years,MTech Computer Science,8.2,Full-time,"SQL, Power BI, Excel, JIRA, Statistics"
JOB457806,NLP Engineer,Bosch,"Chennai, Tamil Nadu","We are hiring a NLP Engineer at Bosch in Chennai, Tamil Nadu. The role requires 3-6 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, NLP, BERT, Transformers, spaCy, NLTK, Machine Learning is preferred. This is a full-time opportunity.",3-6 years,BSc Data Science,7.9,Full-time,"Python, NLP, BERT, Transformers, spaCy, NLTK, Machine Learning"
JOB556641,Data Analyst,HCLTech,"Chennai, Tamil Nadu","We are hiring a Data Analyst at HCLTech in Chennai, Tamil Nadu. The role requires 3-6 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, SQL, Excel, Statistics, Pandas is preferred. This is a internship opportunity.",3-6 years,BSc Data Science,9.3,Internship,"Power BI, SQL, Excel, Statistics, Pandas"
JOB721254,Python Developer,Bosch,"Noida, Uttar Pradesh","We are hiring a Python Developer at Bosch in Noida, Uttar Pradesh. The role requires 5-8 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Docker, FastAPI, Django, REST API, PostgreSQL is preferred. This is a internship opportunity.",5-8 years,Any Graduate,11.3,Internship,"Python, Docker, FastAPI, Django, REST API, PostgreSQL"
JOB697530,Data Engineer,Wipro,"Bengaluru, Karnataka","We are hiring a Data Engineer at Wipro in Bengaluru, Karnataka. The role requires 3-6 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a part-time opportunity.",3-6 years,Any Graduate,9.6,Part-time,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB472060,Web Developer,TCS,"Noida, Uttar Pradesh","We are hiring a Web Developer at TCS in Noida, Uttar Pradesh. The role requires 3-6 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with React, Node.js, JavaScript, MongoDB, HTML, CSS is preferred. This is a part-time opportunity.",3-6 years,BSc Data Science,7.7,Part-time,"React, Node.js, JavaScript, MongoDB, HTML, CSS"
JOB300337,NLP Engineer,IBM,"Gurugram, Haryana","We are hiring a NLP Engineer at IBM in Gurugram, Haryana. The role requires 3-6 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Transformers, BERT, NLP, PyTorch, SQL is preferred. This is a full-time opportunity.",3-6 years,BSc Computer Science,7.9,Full-time,"Python, Transformers, BERT, NLP, PyTorch, SQL"
JOB614663,Business Analyst,Amazon,"Delhi, India","We are hiring a Business Analyst at Amazon in Delhi, India. The role requires 5-8 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, JIRA, Statistics is preferred. This is a internship opportunity.",5-8 years,MCA,10,Internship,"SQL, Power BI, Excel, JIRA, Statistics"
JOB709805,Cloud Engineer,Deloitte,"Nagpur, Maharashtra","We are hiring a Cloud Engineer at Deloitte in Nagpur, Maharashtra. The role requires 0-1 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Azure, Docker, Kubernetes, Terraform, Linux, CI/CD is preferred. This is a part-time opportunity.",0-1 years,MSc Data Science,4.7,Part-time,"AWS, Azure, Docker, Kubernetes, Terraform, Linux, CI/CD"
JOB575786,Power BI Developer,Oracle,"Remote, India","We are hiring a Power BI Developer at Oracle in Remote, India. The role requires 3-6 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, Excel, DAX, SQL, Data Modeling is preferred. This is a contract opportunity.",3-6 years,BTech Information Technology,6.8,Contract,"Power BI, Excel, DAX, SQL, Data Modeling"
JOB661894,Data Engineer,Tech Mahindra,"Mumbai, Maharashtra","We are hiring a Data Engineer at Tech Mahindra in Mumbai, Maharashtra. The role requires 5-8 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a contract opportunity.",5-8 years,MCA,5.9,Contract,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB897135,NLP Engineer,Cognizant,"Remote, India","We are hiring a NLP Engineer at Cognizant in Remote, India. The role requires 2-5 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, NLP, BERT, Transformers, spaCy, NLTK, Machine Learning is preferred. This is a contract opportunity.",2-5 years,Any Graduate,8.9,Contract,"Python, NLP, BERT, Transformers, spaCy, NLTK, Machine Learning"
JOB114835,SQL Developer,Cognizant,"Bengaluru, Karnataka","We are hiring a SQL Developer at Cognizant in Bengaluru, Karnataka. The role requires 1-3 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL Server, Python, MySQL, PostgreSQL, Database Design is preferred. This is a contract opportunity.",1-3 years,MCA,4.6,Contract,"SQL Server, Python, MySQL, PostgreSQL, Database Design"
JOB232413,AI Engineer,Infosys,"Pune, Maharashtra","We are hiring a AI Engineer at Infosys in Pune, Maharashtra. The role requires 3-6 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Machine Learning, Deep Learning, NLP, PyTorch, LLM is preferred. This is a contract opportunity.",3-6 years,BTech Information Technology,9.2,Contract,"Python, Machine Learning, Deep Learning, NLP, PyTorch, LLM"
JOB457256,Java Developer,TCS,"Gurugram, Haryana","We are hiring a Java Developer at TCS in Gurugram, Haryana. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Docker, Microservices, SQL is preferred. This is a internship opportunity.",1-3 years,BSc Computer Science,6.4,Internship,"Java, Spring Boot, Docker, Microservices, SQL"
JOB705050,Python Developer,Amazon,"Mumbai, Maharashtra","We are hiring a Python Developer at Amazon in Mumbai, Maharashtra. The role requires 2-5 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Django, Flask, FastAPI, SQL, Git, REST API is preferred. This is a internship opportunity.",2-5 years,BE Computer Engineering,7.3,Internship,"Python, Django, Flask, FastAPI, SQL, Git, REST API"
JOB224205,Java Developer,Accenture,"Gurugram, Haryana","We are hiring a Java Developer at Accenture in Gurugram, Haryana. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a full-time opportunity.",1-3 years,BSc Computer Science,9.4,Full-time,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB717113,SQL Developer,Zoho,"Chennai, Tamil Nadu","We are hiring a SQL Developer at Zoho in Chennai, Tamil Nadu. The role requires 3-6 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL Server, Python, MySQL, PostgreSQL, Database Design is preferred. This is a internship opportunity.",3-6 years,Any Graduate,6.4,Internship,"SQL Server, Python, MySQL, PostgreSQL, Database Design"
JOB377501,Machine Learning Engineer,Walmart Global Tech,"Remote, India","We are hiring a Machine Learning Engineer at Walmart Global Tech in Remote, India. The role requires 2-5 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, PyTorch, TensorFlow, AWS, Machine Learning, SQL is preferred. This is a part-time opportunity.",2-5 years,BE Computer Engineering,8.2,Part-time,"Python, PyTorch, TensorFlow, AWS, Machine Learning, SQL"
JOB528361,Java Developer,Tech Mahindra,"Nashik, Maharashtra","We are hiring a Java Developer at Tech Mahindra in Nashik, Maharashtra. The role requires 1-3 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a full-time opportunity.",1-3 years,BTech Information Technology,4.5,Full-time,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB576086,Cloud Engineer,Infosys,"Nagpur, Maharashtra","We are hiring a Cloud Engineer at Infosys in Nagpur, Maharashtra. The role requires 3-6 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Kubernetes, Terraform, Jenkins, Docker, Git is preferred. This is a contract opportunity.",3-6 years,BSc Computer Science,9.3,Contract,"AWS, Kubernetes, Terraform, Jenkins, Docker, Git"
JOB335729,Business Analyst,Fractal Analytics,"Ahmedabad, Gujarat","We are hiring a Business Analyst at Fractal Analytics in Ahmedabad, Gujarat. The role requires 3-6 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, JIRA, Statistics is preferred. This is a internship opportunity.",3-6 years,MCA,5.1,Internship,"SQL, Power BI, Excel, JIRA, Statistics"
JOB723948,Java Developer,Accenture,"Mumbai, Maharashtra","We are hiring a Java Developer at Accenture in Mumbai, Maharashtra. The role requires 2-5 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a part-time opportunity.",2-5 years,BTech Computer Science,9.3,Part-time,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB624783,AI Engineer,HCLTech,"Noida, Uttar Pradesh","We are hiring a AI Engineer at HCLTech in Noida, Uttar Pradesh. The role requires 2-5 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, NLP, LLM, Docker, Deep Learning is preferred. This is a internship opportunity.",2-5 years,BSc Computer Science,10.4,Internship,"Python, TensorFlow, NLP, LLM, Docker, Deep Learning"
JOB733039,SQL Developer,Wipro,"Gurugram, Haryana","We are hiring a SQL Developer at Wipro in Gurugram, Haryana. The role requires 8-12 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL Server, Python, MySQL, PostgreSQL, Database Design is preferred. This is a internship opportunity.",8-12 years,BTech Computer Science,12.8,Internship,"SQL Server, Python, MySQL, PostgreSQL, Database Design"
JOB804938,Data Engineer,Tech Mahindra,"Ahmedabad, Gujarat","We are hiring a Data Engineer at Tech Mahindra in Ahmedabad, Gujarat. The role requires 1-3 years of experience and MTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, SQL, ETL, Spark, AWS, Airflow is preferred. This is a full-time opportunity.",1-3 years,MTech Computer Science,9.4,Full-time,"Python, SQL, ETL, Spark, AWS, Airflow"
